Time,Bench,Machine
2014-01-11 20:52:28,8.777391,feature
2014-01-11 20:53:30,8.624400,feature
2014-01-11 21:24:02,8.124487,feature
2014-01-11 21:54:33,8.311662,feature
2014-01-11 22:25:04,9.682053,fence
2014-01-11 22:55:35,9.528099,fence
2014-01-11 23:26:07,9.186361,fence
2014-01-11 23:56:38,9.884699,fence
2014-01-12 00:27:09,9.484801,fence
2014-01-12 00:57:40,9.167283,fence
2014-01-12 01:28:11,8.857725,fence
2014-01-12 01:58:42,8.985199,fence
2014-01-12 02:29:50,9.255680,fence
2014-01-12 03:00:55,9.130675,fence
2014-01-12 03:32:04,9.097209,feature
2014-01-12 04:03:16,8.625073,feature
2014-01-12 04:34:22,8.361421,feature
2014-01-12 05:05:30,9.038233,feature
2014-01-12 05:36:37,9.818369,feature
2014-01-12 06:07:12,8.135731,feature
2014-01-12 06:38:18,8.526747,feature
2014-01-12 07:09:24,8.478295,feature
2014-01-12 07:40:29,8.233578,feature
2014-01-12 08:12:38,8.944549,feature
2014-01-12 08:45:18,8.914989,feature
2014-01-12 09:17:27,8.547281,feature
2014-01-12 09:49:34,8.782465,feature
2014-01-12 10:21:13,10.253165,feature
2014-01-12 10:52:17,9.093029,feature
2014-01-12 11:25:00,9.326518,feature
2014-01-12 11:57:42,10.467713,feature
2014-01-12 12:30:25,8.961578,feature
2014-01-12 13:02:02,9.821336,feature
2014-01-12 13:33:05,9.871917,feature
2014-01-12 14:04:08,10.038456,feature
2014-01-12 14:35:14,8.813165,feature
2014-01-12 15:06:18,8.911748,feature
2014-01-12 15:36:50,8.238885,feature
2014-01-12 16:07:21,8.656295,feature
2014-01-12 16:37:53,9.481746,feature
2014-01-12 17:09:01,8.962863,feature
2014-01-12 17:36:43,8.816450,feature
